,recno,Gal,RAJ2000,DEJ2000,ID,Per,V-I,F160W,sigTot,[O/H],SimbadName
0,262,N1015,39.56022,-1.31469,134588  ,74.43,1.19,24.69,0.32,9.039,[HMR2016] N1015 134588
1,264,N1015,39.55914,-1.33237,152327  ,87.33,1.13,23.96,0.17,8.704,[HMR2016] N1015 152327
2,253,N1015,39.55507,-1.33287,142580  ,32.59,1.44,25.18,0.48,8.684,[HMR2016] N1015 142580
3,259,N1015,39.55436,-1.30964,95917   ,62.12,1.22,24.41,0.4,8.905,[HMR2016] N1015 95917
4,252,N1015,39.55274,-1.33095,130582  ,29.48,0.78,25.74,0.41,8.802,[HMR2016] N1015 130582
5,260,N1015,39.54895,-1.30402,52448   ,63.86,1.33,24.36,0.25,8.621,[HMR2016] N1015 52448
6,263,N1015,39.54915,-1.33539,122746  ,74.61,1.25,24.26,0.21,8.499,[HMR2016] N1015 122746
7,254,N1015,39.54568,-1.32974,92802   ,34.98,1.48,24.79,0.38,8.831,[HMR2016] N1015 92802
8,257,N1015,39.54671,-1.30403,40722   ,58.28,1.64,25.28,0.27,8.641,[HMR2016] N1015 40722
9,258,N1015,39.54536,-1.30428,34805   ,61.85,1.63,24.0,0.31,8.666,[HMR2016] N1015 34805
10,261,N1015,39.54634,-1.32747,91423   ,70.41,1.4,24.23,0.3,8.985,[HMR2016] N1015 91423
11,255,N1015,39.54484,-1.30579,35224   ,40.42,1.27,24.76,0.44,8.766,[HMR2016] N1015 35224
12,256,N1015,39.541,-1.30357,16524   ,50.08,1.3,25.06,0.35,8.635,[HMR2016] N1015 16524
13,265,N1015,39.53493,-1.32221,21471   ,97.49,1.24,23.82,0.22,9.033,[HMR2016] N1015 21471
14,1433,M31,11.89085,42.19674,M31_ceph,5.37,1.33,20.06,0.15,8.9,[RMH2016] 011.890850+42.196740
15,1431,M31,11.79718,42.11502,M31_ceph,7.75,1.45,19.61,0.15,8.9,[RMH2016] 011.797180+42.115020
16,1432,M31,11.79786,42.1625,M31_ceph,3.473,0.81,20.42,0.15,8.9,[RMH2016] 011.797860+42.162500
17,1430,M31,11.76097,42.10409,M31_ceph,3.982,0.79,20.19,0.15,8.9,[RMH2016] 011.760970+42.104090
18,1429,M31,11.745,42.16674,M31_ceph,4.657,1.29,19.69,0.15,8.9,[RMH2016] 011.745000+42.166740
19,1426,M31,11.74005,41.97928,M31_ceph,4.531,1.13,19.92,0.15,8.9,[RMH2016] 011.740050+41.979280
20,1427,M31,11.74063,41.98053,M31_ceph,4.097,0.51,20.07,0.15,8.9,[RMH2016] 011.740630+41.980530
21,1428,M31,11.74138,42.13822,M31_ceph,3.867,1.23,20.45,0.15,8.9,[RMH2016] 011.741380+42.138220
22,1425,M31,11.7335,42.14662,M31_ceph,3.775,1.04,20.53,0.15,8.9,[RMH2016] 011.733500+42.146620
23,1438,M31,11.70992,42.00694,M31_ceph,10.52,0.92,18.59,0.15,8.9,[RMH2016] 011.709920+42.006940
